"Date","Price","Open","High","Low","Vol.","Change %"
"04/29/2024","96.205","96.190","96.205","96.190","19.14K","0.02%"
"04/26/2024","96.185","96.180","96.190","96.180","13.58K","0.01%"
"04/25/2024","96.180","96.185","96.190","96.175","19.32K","-0.01%"
"04/24/2024","96.185","96.190","96.190","96.180","8.81K","-0.01%"
"04/23/2024","96.190","96.190","96.195","96.185","14.06K","0.00%"
"04/22/2024","96.190","96.185","96.195","96.185","9.09K","0.01%"
"04/19/2024","96.180","96.190","96.210","96.175","17.09K","-0.01%"
"04/18/2024","96.185","96.195","96.195","96.185","19.12K","-0.01%"
"04/17/2024","96.195","96.190","96.200","96.190","29.62K","0.00%"
"04/16/2024","96.195","96.205","96.215","96.190","35.69K","0.09%"
"04/15/2024","96.112","96.105","96.105","96.095","18.83K","0.00%"
"04/12/2024","96.110","96.115","96.115","96.090","44.72K","0.01%"
"04/11/2024","96.105","96.105","96.115","96.100","52.17K","-0.01%"
"04/10/2024","96.110","96.120","96.125","96.105","51.93K","-0.02%"
"04/09/2024","96.125","96.130","96.135","96.120","44.90K","-0.01%"
"04/08/2024","96.130","96.140","96.145","96.130","19.81K","-0.02%"
"04/05/2024","96.145","96.160","96.160","96.145","26.20K","-0.01%"
"04/04/2024","96.150","96.160","96.165","96.145","41.78K","-0.01%"
"04/03/2024","96.155","96.160","96.165","96.150","36.77K","-0.01%"
"04/02/2024","96.160","96.150","96.170","96.150","23.41K","0.01%"
"03/28/2024","96.150","96.150","96.155","96.145","11.36K","-0.01%"
"03/27/2024","96.155","96.155","96.160","96.150","44.87K","0.01%"
"03/26/2024","96.150","96.140","96.155","96.140","48.22K","0.01%"
"03/25/2024","96.140","96.150","96.150","96.140","21.07K","-0.01%"
"03/22/2024","96.145","96.130","96.150","96.125","31.63K","0.02%"
"03/21/2024","96.125","96.125","96.140","96.120","31.68K","0.01%"
"03/20/2024","96.115","96.115","96.125","96.115","16.71K","0.00%"
"03/19/2024","96.115","96.110","96.120","96.110","14.92K","0.04%"
"03/18/2024","96.072","96.065","96.070","96.065","18.76K","0.01%"
