"Date","Price","Open","High","Low","Vol.","Change %"
"08/15/2024","108.27","107.40","108.46","107.34","0.68K","1.09%"
"08/14/2024","107.10","107.90","109.75","106.75","1.02K","-0.35%"
"08/13/2024","107.47","107.40","109.40","105.89","1.56K","-0.29%"
"08/12/2024","107.79","106.76","114.80","106.76","1.45K","-1.17%"
"08/09/2024","109.06","107.66","109.50","106.80","0.66K","0.92%"
"08/08/2024","108.06","105.25","108.75","104.50","1.41K","3.37%"
"08/07/2024","104.54","100.10","105.25","98.95","1.04K","3.87%"
"08/06/2024","100.65","99.40","101.64","99.40","1.10K","2.29%"
"08/05/2024","98.39","99.00","99.38","97.00","1.56K","-2.17%"
"08/02/2024","100.57","100.01","101.25","99.30","1.21K","0.32%"
"08/01/2024","100.26","98.22","100.39","97.70","0.76K","2.79%"
"07/31/2024","97.54","97.15","97.78","95.58","1.61K","1.96%"
"07/30/2024","95.67","94.55","95.93","93.49","0.77K","0.71%"
"07/29/2024","94.99","92.50","95.16","92.50","0.55K","2.86%"
"07/26/2024","92.35","92.44","93.00","92.00","0.67K","1.83%"
"07/25/2024","90.69","91.70","91.70","90.52","0.87K","-1.68%"
"07/24/2024","92.24","91.01","92.92","90.50","0.64K","2.67%"
"07/23/2024","89.84","90.50","90.50","89.00","0.62K","-0.77%"
"07/22/2024","90.54","89.50","90.95","89.21","0.75K","-0.98%"
"07/19/2024","91.43","91.00","91.65","90.65","0.72K","-0.77%"
"07/18/2024","92.14","91.31","92.22","90.57","0.58K","1.45%"
"07/17/2024","90.82","92.75","92.80","90.31","0.90K","-2.15%"
"07/16/2024","92.82","91.50","93.29","91.35","0.66K","2.88%"
"07/15/2024","90.22","91.15","91.32","89.65","1.01K","-0.95%"
"07/12/2024","91.08","90.05","91.54","90.00","0.81K","1.24%"
"07/11/2024","89.97","89.00","90.55","88.71","0.74K","0.80%"
"07/10/2024","89.25","90.30","91.11","89.15","0.51K","-1.49%"
"07/09/2024","90.61","92.80","92.80","89.45","0.67K","-2.47%"
"07/08/2024","92.90","95.15","95.60","92.40","0.53K","-1.66%"
"07/05/2024","94.47","95.88","95.88","94.10","0.75K","-0.95%"
"07/04/2024","95.37","94.05","96.34","94.05","0.46K","0.89%"
"07/03/2024","94.53","95.70","95.70","94.46","0.82K","-2.20%"
"07/02/2024","96.65","95.25","97.09","95.25","0.65K","1.20%"
"07/01/2024","95.50","99.15","99.15","95.40","0.58K","-1.75%"
"06/28/2024","97.21","96.45","97.41","95.75","0.63K","16.80%"
"06/27/2024","83.22","83.00","83.50","82.25","0.23K","2.25%"
"06/26/2024","81.39","85.33","85.33","81.51","0.44K","-3.02%"
"06/25/2024","83.92","83.25","83.96","82.65","0.20K","2.30%"
"06/24/2024","82.04","82.15","83.00","81.55","0.25K","0.28%"
"06/21/2024","81.81","83.25","83.30","81.56","0.55K","-1.50%"
"06/20/2024","83.05","85.60","86.00","82.52","0.89K","-2.65%"
"06/19/2024","85.32","83.68","85.61","83.15","0.61K","1.55%"
"06/18/2024","84.02","83.70","84.73","83.30","0.75K","1.29%"
